#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
828.0097052862611 98.0 104.0 97.0 
829.5278441856192 97.0 100.0 96.0 
831.0196830925627 105.0 87.0 93.0 
832.5194519692195 105.0 91.0 94.0 
834.0064420089784 112.0 92.0 97.0 
835.5608823628463 116.0 97.0 91.0 
837.0072548369191 121.0 95.0 92.0 
838.5046782334676 123.0 97.0 91.0 
840.0044004417036 118.0 97.0 96.0 
841.5045859424812 106.0 103.0 99.0 
843.0034989276784 96.0 107.0 94.0 
844.5016455685029 102.0 100.0 90.0 
846.0118382103982 97.0 99.0 82.0 
847.5015719836827 94.0 101.0 91.0 
849.0081059709366 94.0 96.0 102.0 
850.5411948279317 95.0 98.0 106.0 
852.071868692176 106.0 91.0 104.0 
853.5050426695387 108.0 80.0 111.0 
855.0611214237924 104.0 69.0 110.0 
856.5091642267372 100.0 76.0 117.0 
858.0050409781074 93.0 79.0 119.0 
859.5287114671796 99.0 84.0 125.0 
861.0241397792392 89.0 85.0 119.0 
862.516444295466 85.0 91.0 116.0 
864.0110734697973 85.0 93.0 115.0 
865.5427673837165 82.0 91.0 116.0 
867.016977353601 81.0 94.0 112.0 
868.5019313667499 92.0 97.0 118.0 
870.0046415316583 82.0 101.0 117.0 
871.5432554967788 82.0 99.0 120.0 
873.0118419539968 83.0 95.0 122.0 
874.5494357938852 84.0 94.0 115.0 
876.0118381859836 86.0 91.0 112.0 
877.5065949457979 88.0 91.0 99.0 
879.0316032083654 95.0 97.0 106.0 
880.5011970456432 93.0 103.0 99.0 
882.0174901055664 99.0 106.0 99.0 
883.502386033041 104.0 108.0 97.0 
885.0018994114082 105.0 110.0 100.0 
886.5019894251374 114.0 102.0 104.0 
888.0060094305768 116.0 104.0 112.0 
889.5325442842562 111.0 105.0 110.0 
891.0170229439997 115.0 106.0 100.0 
892.5024274389696 103.0 100.0 99.0 
894.0002510187129 100.0 109.0 87.0 
895.5285863412472 100.0 102.0 86.0 
897.005533602775 102.0 106.0 98.0 
898.5543550492855 102.0 94.0 92.0 
900.0218636210067 107.0 82.0 89.0 
901.5397729429851 106.0 79.0 87.0 
903.0287562150081 105.0 79.0 87.0 
904.5252376782762 110.0 82.0 88.0 
906.0066143353841 114.0 89.0 93.0 
907.5069784708886 108.0 95.0 89.0 
909.0474831731635 103.0 106.0 92.0 
910.5097359955248 102.0 109.0 92.0 
912.0054846573637 97.0 112.0 94.0 
913.5399383052081 93.0 112.0 100.0 
915.0102112386038 92.0 111.0 98.0 
916.5031076540133 95.0 108.0 98.0 
918.0047370788047 92.0 118.0 90.0 
919.5008168653869 94.0 112.0 88.0 
921.0108401867594 94.0 114.0 82.0 
922.519305634304 87.0 108.0 91.0 
924.0059048383719 90.0 109.0 99.0 
925.5098147725312 85.0 105.0 100.0 
927.0259888650858 82.0 106.0 102.0 
928.5099998675558 84.0 105.0 106.0 
930.0371414700305 88.0 100.0 102.0 
931.5181417509991 88.0 100.0 103.0 
933.0111703887729 85.0 97.0 102.0 
934.5163998448829 86.0 97.0 117.0 
936.0017074166634 84.0 97.0 119.0 
937.5398864228621 87.0 98.0 116.0 
939.0018638482148 92.0 92.0 110.0 
940.5139966094356 98.0 102.0 113.0 
942.0220850142101 93.0 109.0 96.0 
943.5160743680686 92.0 105.0 96.0 
945.0044359181276 86.0 101.0 96.0 
946.5056359631948 91.0 101.0 95.0 
948.0009000488288 98.0 98.0 102.0 
